No.,Time,Source,Destination,Protocol,Length,Offset,Value,Info
1112,27.608476,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,29,31,6a,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 31"
306,7.458488,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,42,33,4871726749744d6b5164646c445f,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 33"
468,11.508478,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,39,33,6837783034664f34437274,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 33"
1676,41.708491,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,29,33,73,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 33"
790,19.558492,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,38,35,6251433272327a68306c,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 35"
950,23.558485,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,35,35,67757734514874,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 35"
1314,32.658487,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,32,35,5f534541,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 35"
1716,42.708482,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,32,36,34736970,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 36"
1758,43.75847,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,29,38,6b,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 38"
1798,44.758491,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,29,39,5f,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 39"
992,24.608474,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,30,41,7272,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 41"
1476,36.708478,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,29,41,41,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 41"
144,3.40845,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,38,48,315539307a4454306d5a,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 48"
508,12.508499,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,36,50,3053703037743070,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 50"
830,20.558483,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,31,50,6b654f,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 50"
1032,25.608494,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,30,50,3374,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 50"
1234,30.658475,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,29,50,33,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 50"
910,22.558494,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,31,55,687d71,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 55"
1274,31.658497,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,29,57,0a,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 57"
